tanggal,total_kasus,kasus_harian,total_perawatan,perawatan_harian,total_sembuh,sembuh_harian,total_meninggal,meninggal_harian
02-03-2020,2,2,2,2,0,0,0,0
03-03-2020,2,0,2,0,0,0,0,0
04-03-2020,2,0,2,0,0,0,0,0
05-03-2020,2,0,2,0,0,0,0,0
06-03-2020,4,2,4,2,0,0,0,0
07-03-2020,4,0,4,0,0,0,0,0
08-03-2020,6,2,6,2,0,0,0,0
09-03-2020,19,13,19,13,0,0,0,0
10-03-2020,27,8,25,6,2,2,0,0
11-03-2020,34,7,31,6,2,0,1,1
12-03-2020,34,0,31,0,2,0,1,0
13-03-2020,69,35,63,32,2,0,4,3
14-03-2020,96,27,83,20,8,6,5,1
15-03-2020,117,21,104,21,8,0,5,0
16-03-2020,134,17,121,17,8,0,5,0
17-03-2020,172,38,158,37,9,1,5,0
18-03-2020,227,55,197,39,11,2,19,14
19-03-2020,309,82,269,72,15,4,25,6
20-03-2020,369,60,320,51,17,2,32,7
21-03-2020,450,81,392,72,20,3,38,6
22-03-2020,514,64,437,45,29,9,48,10
23-03-2020,579,65,500,63,30,1,49,1
24-03-2020,685,106,600,100,30,0,55,6
25-03-2020,790,105,701,101,31,1,58,3
26-03-2020,893,103,780,79,35,4,78,20
27-03-2020,1046,153,913,133,46,11,87,9
28-03-2020,1155,109,994,81,59,13,102,15
29-03-2020,1285,130,1107,113,64,5,114,12
30-03-2020,1414,129,1217,110,75,11,122,8
31-03-2020,1528,114,1311,94,81,6,136,14
01-04-2020,1677,149,1417,106,103,22,157,21
02-04-2020,1790,113,1508,91,112,9,170,13
03-04-2020,1986,196,1671,163,134,22,181,11
04-04-2020,2092,106,1751,80,150,16,191,10
05-04-2020,2273,181,1911,160,164,14,198,7
06-04-2020,2491,218,2090,179,192,28,209,11
07-04-2020,2738,247,2313,223,204,12,221,12
08-04-2020,2956,218,2494,181,222,18,240,19
09-04-2020,3293,337,2761,267,252,30,280,40
10-04-2020,3512,219,2924,163,282,30,306,26
11-04-2020,3842,330,3229,305,286,4,327,21
12-04-2020,4241,399,3509,280,359,73,373,46
13-04-2020,4557,316,3778,269,380,21,399,26
14-04-2020,4839,282,3954,176,426,46,459,60
15-04-2020,5136,297,4221,267,446,20,469,10
16-04-2020,5516,380,4472,251,548,102,496,27
17-04-2020,5923,407,4796,324,607,59,520,24
18-04-2020,6248,325,5082,286,631,24,535,15
19-04-2020,6575,327,5307,225,686,55,582,47
20-04-2020,6760,185,5423,116,747,61,590,8
21-04-2020,7135,375,5677,254,842,95,616,26
22-04-2020,7418,283,5870,193,913,71,635,19
23-04-2020,7775,357,6168,298,960,47,647,12
24-04-2020,8211,436,6520,352,1002,42,689,42
25-04-2020,8607,396,6845,325,1042,40,720,31
26-04-2020,8882,275,7032,187,1107,65,743,23
27-04-2020,9096,214,7180,148,1151,44,765,22
28-04-2020,9511,415,7484,304,1254,103,773,8
29-04-2020,9771,260,7596,112,1391,137,784,11
30-04-2020,10118,347,7804,208,1522,131,792,8
01-05-2020,10551,433,8160,356,1591,69,800,8
02-05-2020,10843,292,8347,187,1665,74,831,31
03-05-2020,11192,349,8471,124,1876,211,845,14
04-05-2020,11587,395,8769,298,1954,78,864,19
05-05-2020,12071,484,9002,233,2197,243,872,8
06-05-2020,12438,367,9226,224,2317,120,895,23
07-05-2020,12776,338,9465,239,2381,64,930,35
08-05-2020,13112,336,9675,210,2494,113,943,13
09-05-2020,13645,533,10079,404,2607,113,959,16
10-05-2020,14032,387,10361,282,2698,91,973,14
11-05-2020,14265,233,10393,32,2881,183,991,18
12-05-2020,14749,484,10679,286,3063,182,1007,16
13-05-2020,15438,689,11123,444,3287,224,1028,21
14-05-2020,16006,568,11445,322,3518,231,1043,15
15-05-2020,16496,490,11617,172,3803,285,1076,33
16-05-2020,17025,529,12025,408,3911,108,1089,13
17-05-2020,17514,489,12237,212,4129,218,1148,59
18-05-2020,18010,496,12495,258,4324,195,1191,43
19-05-2020,18496,486,12808,313,4467,143,1221,30
20-05-2020,19189,693,13372,564,4575,108,1242,21
21-05-2020,20162,973,14046,674,4838,263,1278,36
22-05-2020,20796,634,14413,367,5057,219,1326,48
23-05-2020,21745,949,15145,732,5249,192,1351,25
24-05-2020,22271,526,15497,352,5402,153,1372,21
25-05-2020,22750,479,15717,220,5642,240,1391,19
26-05-2020,23165,415,15870,153,5877,235,1418,27
27-05-2020,23851,686,16321,451,6057,180,1473,55
28-05-2020,24538,687,16802,481,6240,183,1496,23
29-05-2020,25216,678,17204,402,6492,252,1520,24
30-05-2020,25773,557,17185,-19,7015,523,1573,53
31-05-2020,26473,700,17552,367,7308,293,1613,40
01-06-2020,26940,467,17662,110,7637,329,1641,28
02-06-2020,27549,609,17951,289,7935,298,1663,22
03-06-2020,28233,684,18129,178,8406,471,1698,35
04-06-2020,28818,585,18205,76,8892,486,1721,23
05-06-2020,29521,703,18308,103,9443,551,1770,49
06-06-2020,30514,993,18806,498,9907,464,1801,31
07-06-2020,31186,672,18837,31,10498,591,1851,50
08-06-2020,32033,847,19246,409,10904,406,1883,32
09-06-2020,33075,1042,19738,492,11414,510,1923,40
10-06-2020,34316,1241,20228,490,12129,715,1959,36
11-06-2020,35295,979,20659,431,12636,507,2000,41
12-06-2020,36406,1111,21145,486,13213,577,2048,48
13-06-2020,37420,1014,21553,408,13776,563,2091,43
14-06-2020,38277,857,21612,59,14531,755,2134,43
15-06-2020,39294,1017,21973,361,15123,592,2198,64
16-06-2020,40400,1106,22466,493,15703,580,2231,33
17-06-2020,41431,1031,22912,446,16243,540,2276,45
18-06-2020,42762,1331,23625,713,16798,555,2339,63
19-06-2020,43803,1041,24081,456,17349,551,2373,34
20-06-2020,45029,1226,24717,636,17883,534,2429,56
21-06-2020,45891,862,25022,305,18404,521,2465,36
22-06-2020,46845,954,25610,588,18735,331,2500,35
23-06-2020,47896,1051,26120,510,19241,506,2535,35
24-06-2020,49009,1113,26778,658,19658,417,2573,38
25-06-2020,50187,1178,27118,340,20449,791,2620,47
26-06-2020,51427,1240,27411,293,21333,884,2683,63
27-06-2020,52812,1385,28183,772,21909,576,2720,37
28-06-2020,54010,1198,28320,137,22936,1027,2754,34
29-06-2020,55092,1082,28487,167,23800,864,2805,51
30-06-2020,56385,1293,28703,216,24806,1006,2876,71
01-07-2020,57770,1385,29241,538,25595,789,2934,58
02-07-2020,59394,1624,29740,499,26667,1072,2987,53
03-07-2020,60695,1301,30091,351,27568,901,3036,49
04-07-2020,62142,1447,30834,743,28219,651,3089,53
05-07-2020,63749,1607,31473,639,29105,886,3171,82
06-07-2020,64958,1209,31798,325,29919,814,3241,70
07-07-2020,66226,1268,32132,334,30785,866,3309,68
08-07-2020,68079,1853,33135,1003,31585,800,3359,50
09-07-2020,70736,2657,34668,1533,32651,1066,3417,58
10-07-2020,72347,1611,35349,681,33529,878,3469,52
11-07-2020,74018,1671,35764,415,34719,1190,3535,66
12-07-2020,75699,1681,36455,691,35638,919,3606,71
13-07-2020,76981,1282,36636,181,36689,1051,3656,50
14-07-2020,78572,1591,37226,590,37636,947,3710,54
15-07-2020,80094,1522,37247,21,39050,1414,3797,87
16-07-2020,81668,1574,37450,203,40345,1295,3873,76
17-07-2020,83130,1462,37339,-111,41834,1489,3957,84
18-07-2020,84882,1752,37598,259,43268,1434,4016,59
19-07-2020,86521,1639,36977,-621,45401,2133,4143,127
20-07-2020,88214,1693,36998,21,46977,1576,4239,96
21-07-2020,89869,1655,37083,85,48466,1489,4320,81
22-07-2020,91751,1882,37037,-46,50255,1789,4459,139
23-07-2020,93657,1906,36917,-120,52164,1909,4576,117
24-07-2020,95418,1761,36808,-109,53945,1781,4665,89
25-07-2020,97286,1868,37218,410,55354,1409,4714,49
26-07-2020,98778,1492,37342,124,56655,1301,4781,67
27-07-2020,100303,1525,37292,-50,58173,1518,4838,57
28-07-2020,102051,1748,36611,-681,60539,2366,4901,63
29-07-2020,104432,2381,37319,708,62138,1599,4975,74
30-07-2020,106336,1904,36986,-333,64292,2154,5058,83
31-07-2020,108376,2040,37338,352,65907,1615,5131,73
01-08-2020,109936,1560,36824,-514,67919,2012,5193,62
02-08-2020,111455,1519,37244,420,68975,1056,5236,43
03-08-2020,113134,1679,37595,351,70237,1262,5302,66
04-08-2020,115056,1922,37618,23,72050,1813,5388,86
05-08-2020,116871,1815,37530,-88,73889,1839,5452,64
